list	has_preview	trial	paragraph_id	article_id	article_title	paragraph_level	paragraph	question_id	question	a	b	c	d	correct_answer place in the a b c d ; 3=d 	answers_order	Aspan_inds	Dspan_inds
1	1	11	4	2	Are MOOCs the Future of Higher Education?	Ele	"Though they may be popular to start off with, MOOCs have dire completion rates, observes Brabon. For his vampire fiction course, that meant 1,000 enrollments and 31 completions. “And almost all of those had a first degree or had been educated to degree level,” he says. “So the MOOCs trend may not be opening up  to sectors of the population it hasn’t reached to date.”"	1	What is Brabon’s overall conclusion about MOOCs?	They do not make higher education much more accessible	They are very popular	They are a positive experience	They do not help people who already have higher education	0	[0 2 3 1]	"[(46, 65)]"	"[(0, 10)]"
1	1	12	5	2	Are MOOCs the Future of Higher Education?	Int	"“Learning online is a different thing, needs quite advanced learning skills,” confirms David Kernohan, program manager for eLearning Innovation at Jisc, a charity that champions the use of digital technologies in UK education and research. “With MOOCs, there’s very little support available: the student is dropped in and tends not to get any individual attention. This is, instead, approximated by peer support such as online discussion forums.” While this may mean that online study is unattractive or difficult for someone without high-level qualifications, it does, he says, suggest that MOOCs could be “a really good tool for continuing education.”"	1	"Based on this article, which of these people would benefit most from a MOOC?"	Someone who wishes to develop advanced learning skills	Someone with high-level qualifications looking to learn more	Someone who wants something fun to do	Someone who dropped out of high school but wants to continue their education again	1	[2 0 3 1]	"[(67, 99)]"	"[(8, 11)]"
1	1	13	6	2	Are MOOCs the Future of Higher Education?	Ele	"At a time when the number of part-time students has fallen sharply as the price of a degree rises, could this type of open and free-to-access course provide a new path to university-level education? Could an entire degree be taught via MOOCs? “I don’t think that’s how MOOCs work,” says Brabon. Instead, he suggests “a blended approach that combines a campus experience with a MOOC; also, perhaps, using MOOCs to create a global degree, with students taking courses from across the world, might be possible.”"	2	What is the purpose of Brabon’s quote about “blended learning”?	It points out the difficulties of blended learning	It explains why a global degree would be necessary	It provides a prediction about how MOOCs will be most effective	It makes a strong demand for using blended learning	2	[3 2 0 1]	"[(51, 65)]"	"[(67, 74)]"
1	1	14	7	2	Are MOOCs the Future of Higher Education?	Ele	"But that’s a little way into the future: for now, no prospective employer will care much if you come waving your MOOC completion certificate, without any quality assurance on either the course content or its assessment standards. Accreditation is therefore now the central challenge that MOOCs must grapple with to gain credibility with academics and employers, says Brabon, who is on a Quality Assurance Agency working group, aiming to develop an agreed approach to standards and marking. There is idealism around the concept of MOOCs bringing the best of first-world teaching to students in less developed countries. But there’s cynicism, too, with the suggestion that universities could use MOOCs to advertise their on-campus wares to greater numbers of lucrative – though certainly not always wealthy – students from outside the EU."	0	Why are MOOCs not currently useful to people who are trying to get jobs?	Employers don’t believe that MOOCs are rigorous	People trying to find jobs are too busy to take MOOCs	They are only useful for advertising university courses to fee-paying students	Employers don’t think that MOOCs can teach useful skills	0	[0 3 2 1]	"[(8, 56)]"	"[(105, 131)]"
1	1	15	8	2	Are MOOCs the Future of Higher Education?	Int	"Mike Sharples, chair of Educational Technology, doesn’t buy into that cynicism. MOOCs are viewed primarily as a way to showcase and share universities’ best teaching talent, as well as encouraging interaction and soliciting feedback from students around the world, he says. He believes that recruiting international students for university courses is only a secondary objective of running MOOCs – though they could certainly be a very canny marketing move, as he observes that “if 20,000 people sign up for a MOOC – well, you only need 20 of those to enroll afterwards to run a master’s.”"	2	"How might MOOCs increase the number of master’s students, according to the paragraph?"	A fraction of those enrolled in a MOOC could later enroll at the university	Universities will gain more popularity as a result of the publicity MOOCs provide	Universities could offer master’s courses online	MOOCs would encourage more international student to enroll in master’s courses	0	[0 3 1 2]	"[(59, 96)]"	"[(44, 50)]"
1	1	16	9	2	Are MOOCs the Future of Higher Education?	Int	"“In South America, China, countries in Africa, there is a huge appetite for learning and some of the world’s best courses are being offered online,” adds Sharples. “If people are genuinely fascinated by learning, then why not? The real challenge is to allow those countries not just to consume and study MOOCs, but also to create them.”"	0	"How could have Sharples completed his question? “If people are fascinated by learning, then why not…” "	… have some of the world’s best courses online?	… let them make MOOCs?	.... let them use MOOCs to advance their learning?	… have them enroll in colleges in the United States?	2	[1 2 0 3]	"[(0, 37)]"	"[(45, 57)]"
1	1	17	1	3	Inky the octopus escapes from aquarium	Adv	"An octopus has made a brazen escape from the National Aquarium in New Zealand by breaking out of its tank, slithering down a 50-metre drainpipe and disappearing into the sea. In scenes reminiscent of Finding Nemo, Inky – a common New Zealand octopus – made his dash for freedom after the lid of his tank was accidentally left slightly ajar. Staff believe that in the middle of the night, while the aquarium was deserted, Inky clambered to the top of his glass enclosure, down the side of the tank and travelled across the floor of the aquarium. Rob Yarrell, national manager of the National Aquarium of New Zealand in Napier, said: “Octopuses are famous escape artists. I don’t think he was unhappy with us, or lonely, as octopuses are solitary creatures. But, he is such a curious boy. He would want to know what’s happening on the outside. That’s just his personality.”"	1	"Why did Inky escape, according to Napier?"	He wanted to know what was happening outside	He wanted to disappear into the sea	He wanted the challenge of trying to escape	He has a contrary personality	0	[0 2 3 1]	"[(131, 152)]"	"[(26, 30)]"
1	1	18	2	3	Inky the octopus escapes from aquarium	Adv	"One theory is that Inky slid across the aquarium floor – a journey of three or four metres – and then, sensing freedom was at hand, into a drainpipe that led directly to the sea. The drainpipe was 50 metres long and opened onto the waters of Hawke’s Bay, on the east coast of New Zealand’s North Island. Another possible escape route could have involved Inky squeezing into an open pipe at the top of his tank, which led under the floor to the drain. “When we came in the next morning and his tank was empty, I was really surprised,” said Yarrell, who has not launched a search for Inky. “The staff and I have been pretty sad. But then, this is Inky and he’s always been a bit of a surprise octopus.”"	2	Why does Inky’s escape make sense to Yarrell?	He believes octopi don’t belong in an aquarium	Inky always want to live in the sea	Nobody ever tried to look for Inky	Inky has been know to surprise people	3	[3 2 1 0]	"[(102, 134)]"	"[(26, 35)]"
1	1	19	3	3	Inky the octopus escapes from aquarium	Int	"Reiss Jenkinson, exhibits keeper at the National Aquarium, said he was absolutely certain Inky had not been taken. “I understand the nature of octopus behaviour very well,” he said. “I have seen octopuses on boats slip through bilge pumps. And, the security here is too tight for anyone to take Inky and why would they?” Because octopuses have no bones, they are able to fit into extremely small spaces and have been filmed squeezing through gaps the size of coins. They are also understood to be extremely intelligent and capable of using tools. At the Island Bay Marine Education Centre in Wellington, an octopus was found to be in the habit of visiting another tank overnight to steal crabs, then returning to its own. Another at the centre, Ozymandias, was thought to have broken a world record for opening a jar before it was released into the ocean."	1	Why does the article mention Ozymandias?	To show that octopuses are clever	To prove that octopuses can squeeze through gaps the size of coins	Because he is a leading octopus researcher	To explain who won the jar-opening world record	0	[0 2 3 1]	"[(124, 148)]"	"[(55, 80)]"
1	1	20	4	3	Inky the octopus escapes from aquarium	Adv	"Inky was brought to the National Aquarium a number of years ago by a local fisherman who found him caught in a crayfish pot. He was scarred and “rough looking”, with shortened limbs, said Yarrell. “He had been living on the reef and fighting with fish so he wasn’t in the best shape.” According to Yarrell, Inky – who is about the size of a rugby ball – was an “unusually intelligent” octopus. “He was very friendly, very inquisitive and a popular attraction here. We have another octopus, Blotchy, but he is smaller than Inky and Inky had the personality.” The aquarium has no plans to step up security as a result of the escape as Inky was a “one- off” but the staff are “increasingly aware of what octopuses can actually do”. Although the aquarium is not actively searching for a replacement for Inky, if a fisherman brought in another octopus, it might be willing to take it on. “You never know,” said Yarrell. “There’s always a chance Inky could come home to us.”"	2	Where did Inky live before the aquarium?	In a fishing pot	In a popular attraction	In a dangerous lake	In a reef among fish	3	[3 2 1 0]	"[(35, 53)]"	"[(84, 89)]"
1	1	21	1	4	Love hormone helps autistic children bond with others	Ele	"A nasal spray laced with the 'Love hormone' oxytocin could help children with autism learn to handle social situations better, US researchers claim. Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them."	0	What is oxytocin?	A hormone	A nasal spray	A part of the brain	A food	0	[0 2 1 3]	"[(6, 9)]"	"[(0, 9)]"
1	1	22	2	4	Love hormone helps autistic children bond with others	Adv	"The scientists behind the research said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to cope with social situations. “Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,” said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University."	1	What are some impacts continuous use of oxytocin will have on autistic people?	It will improve their cognitive ability	More eye movement	More normal behavior in social interactions	Help other people interact with autistic people	2	[3 1 0 2]	"[(32, 53)]"	"[(0, 32)]"
1	1	23	3	4	Love hormone helps autistic children bond with others	Ele	"Autism is a developmental disorder seen in more than one in 100 people. The condition affects individuals in different ways, but is characterized by difficulties in social interaction and communication. So far, there is no established treatment for the social problems caused by autism."	1	How were the social aspects of autism effectively treated before the time this article was written?	Oxytocin	Surgery	There is no effective treatment	Increased exposure to social interactions	2	[1 3 0 2]	"[(30, 44)]"	"[(13, 30)]"
1	1	24	4	4	Love hormone helps autistic children bond with others	Ele	"Researchers at Yale have studied the brain chemical oxytocin as a potential treatment for the social impairments caused by autism because it plays a crucial role in bonding and trust. Results have been mixed, though: one recent study found no significant benefit for youths given the chemical over several days. But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used with therapies that encourage people with autism to engage more socially, he said."	2	It can be inferred that an autistic child would…	Never benefit from chemical treatments	Play an important role in bonding	Prefer to be in solitude than make friends	Struggle to form faithful friendships	3	[2 1 3 0]	"[(0, 30)]"	"[(30, 50)]"
1	1	25	5	4	Love hormone helps autistic children bond with others	Int	"“Our study shows that oxytocin affects the brain and opens up the possibility that, when combined with behavioral treatments, it works like a social enhancer,” he said. The scientists used a technique called functional MRI to scan the brains of 17 youths aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing various emotions. The scans were given 45 minutes after the participants inhaled a placebo or oxytocin through a nasal spray. The scans showed that reward circuitry in the children’s brains behaved more normally after a snort of oxytocin, being more active when the person was looking at faces and less active when viewing the inanimate cars. The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States."	2	Why did the scientists have children look at both people and cars?	They activate different parts of the brain	They stimulate varying levels of brain activity	They evoke different emotions	They are of the most interest to autistic children	1	[1 0 2 3]	"[(81, 117)]"	"[(27, 63)]"
1	1	26	6	4	Love hormone helps autistic children bond with others	Int	"“If this is replicated, it suggests that oxytocin might treat something for which we don’t have a treatment in autism, and that’s the core social motivation,” Pelphrey told the Guardian. He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and cautioned against buying oxytocin from suppliers online. “We don’t want them running out on the basis of this study or any other and trying oxytocin at home. There is no telling what they are buying. We are nowhere near thinking this is a ready treatment. It needs more follow-up,” he said. “This is an important new study in identifying changes in brain activity in key regions of the brain involved in social cognition in autism following oxytocin administration,” said Simon Baron-Cohen, director of the Autism Research Centre at Cambridge University."	0	How should oxytocin be used for autism according to Pelphrey?	It should be used everyday	It should should be used early in autism	It should be bought in stores	It should not be used yet	3	[3 1 2 0]	"[(30, 50)]"	"[(51, 58)]"
1	1	27	7	4	Love hormone helps autistic children bond with others	Adv	"A surprising finding, however, is that oxytocin nasal spray did not change performance on the social cognitive task. Nor is it clear yet if oxytocin only has benefits for people with autism or has any unwanted side effects. Finally, oxytocin effects only last about 45 minutes, so there may be practical considerations as to whether this could be used as a treatment. “From a scientific perspective, this study has a lot of evidence from animal and human work to justify serious attention, but more research is needed. Doctors should be cautious about the clinical potential of this hormone until we know much more about its benefits and risks, in much larger studies,” said Simon Baron-Cohen."	0	What is one of the reasons scientists are uncertain about using oxytocin in real life?	It hurts the sides	It may have harmful effects	Conclusions drawn in research are not applicable to real life	It lasts too long	1	[1 0 3 2]	"[(18, 38)]"	"[(38, 62)]"
1	1	28	8	4	Love hormone helps autistic children bond with others	Adv	"Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may have the effect of making faces more interesting as assessed by greater activity in brain structures concerned with reward evaluation. Disappointingly, this effect is seen only in brain activity and not in behavior. Demonstrating an effect on behavior will be critical if nasal spray treatment is to be of any value.”"	2	Where can the effects of oxytocin be seen in an autistic child?	Only brain activity	The interest a child takes in someone	Brain activity and behavior	Facial expression	0	[0 2 1 3]	"[(36, 49)]"	"[(10, 24)]"
1	1	29	1	5	Spain’s Robin Hood	Adv	"They call him the Robin Hood of the banks, a man who took out dozens of loans, worth almost half a million euros, with no intention of ever paying them back. Instead, Enric Duran handed the money out to projects that created and promoted alternatives to capitalism. After 14 months in hiding, Duran is unapologetic, even though his activities could land him in jail. “I’m proud of what I did,” he said in an interview by Skype from an undisclosed location."	0	What did Enric Duran do with the money he took from the banks?	He gave them to projects that were anti-capitalism	He gave the money to charities	He invested it in stocks	He hid the money	0	[0 1 3 2]	"[(9, 47)]"	"[(47, 52)]"
1	1	30	2	5	Spain’s Robin Hood	Ele	"From 2006 to 2008, Duran took out 68 commercial and personal loans from 39 banks in Spain. He farmed the money out to social activists, funding speaking tours against capitalism and TV cameras for a media network. “I saw that, on one side, these social movements were building alternatives but that they lacked resources and communication capacities,” he said. “Meanwhile, our reliance on perpetual growth was creating a system that created money out of nothing.”"	0	What was done with the money Duran took from the banks?	Support for third-world countries	Speeches and equipment for campaigns against capitalism	Commercials for loans	TV cameras for a modeling agency	1	[3 0 2 1]	"[(17, 37)]"	"[(0, 17)]"
1	1	31	3	5	Spain’s Robin Hood	Int	"The loans he swindled from banks were his way of regulating and denouncing this situation, he said. He started slowly. “I filled out a few credit applications with my real details. They denied me, but I just wanted to get a feel for what they were asking for.” From there, the former table-tennis coach began to weave an intricate web of accounts, payments and transfers. “I was learning constantly.” By the summer of 2007, he had discovered how to make the system work, applying for loans under the name of a false television production company. “Then, I managed to get a lot.” €492,000, to be exact. "	2	How much money did Duran make once he learned how to take out a loan?	The article does not say if Duran made any money	He wasn’t able to take out a loan	"About €92,000"	"About €500,000"	3	[3 2 1 0]	"[(69, 106)]"	"[(20, 31)]"
1	1	32	4	5	Spain’s Robin Hood	Adv	"Duran was arrested in Spain in 2009, on charges brought against him by six of the 39 banks that had lent him money. He spent two months in prison before being bailed for €50,000. In February 2013, facing up to eight years in prison, he decided to flee rather than stand trial. “I don’t see legitimacy in a judicial system based on authority, because I don’t recognize its authority,” he said. His actions, he said, were in the vanguard of a worldwide debate on the economic crisis. The timing pushed the anti-capitalist movement into the light, just as many Spaniards were seeking alternatives to a system that had wreaked havoc on their lives."	1	What effect did Duran’s actions before his arrest have?	More people became anti-capitalist	People began looking for alternatives to the current system	Taking money from the bank became harder	People began to notice the anti-capitalist movement	3	[1 2 3 0]	"[(87, 96)]"	"[(96, 113)]"
1	1	33	5	5	Spain’s Robin Hood	Int	"While the same actions would probably be better understood in today’s Spain, he said that they would not be needed. The anti-capitalist movement has grown from a fringe movement to one supported by thousands of Spaniards, he said, evidenced by the widely supported movements such as the Indignados. Duran is widening his focus to include Spain’s justice system, by promoting restorative justice. “The people in Spain who believe that banks don’t work, they think that I don’t owe anything. I’ve already done my work,” he said. “But there is a part of a population that is not in agreement with us and I think I should respond to that.” In his case, he said, the element of reciprocity he could offer to banks might lie in the insight he gleaned from years of obtaining bank loans fraudulently. He could share his thoughts on “which best practices work and the bad ones that don’t,” he suggested, “for the general population and for bank workers”."	1	Where did Duran learn about the bank system and how to improve it?	Through his parents	Through his experience lying to get loans	Through the Indignados	Through taking loans honestly	1	[3 0 2 1]	"[(109, 137)]"	"[(20, 48)]"
1	1	34	1	6	Mirrors could replace air conditioning	Int	"A mirror that sends heat into the frigid expanse of space has been designed by scientists to replace air-conditioning units that keep buildings cool on Earth. Researchers believe the mirror could slash the amount of energy used to control air temperatures in business premises and shopping centers by doing away with power-hungry cooling systems. Around 15% of the energy used by buildings in the US goes on air conditioning, but the researchers’ calculations suggest that, in some cases, the mirror could completely offset the need for extra cooling."	0	"Where could we substantially cut energy costs with mirrors, according to the article?"	Factories and industrial plants	Air traffic control offices	Offices and malls	Cooling units such as fridges	2	[3 1 0 2]	"[(26, 54)]"	"[(18, 20)]"
1	1	35	2	6	Mirrors could replace air conditioning	Ele	"In a rooftop comparison of the device in Stanford, California, scientists found that, while a surface painted black reached 60C more than ambient temperature in sunlight and bare aluminium reached 40C more, the mirror was up to 5C cooler than the surrounding air temperature. “If you cover significant parts of the roof with this mirror, you can see how much power it can save. You can significantly offset the electricity used for air conditioning,” said Shanhui Fan, an expert in photonics at Stanford University, who led the development of the mirror. “In some situations, the computations say you can completely offset the air conditioning.” Buildings warm up in a number of different ways. Hot-water boilers and cooking facilities release heat into their immediate surroundings. In hot countries, warm air comes in through doors and windows. Then, there is visible light and infrared radiation from the sun, which also heat up buildings."	2	Which type of roof absorbed the most heat?	The one made of aluminum	Roofs can’t generate heat	The heat generated by a roof depends on the type of building	The one painted black	3	[1 3 2 0]	"[(0, 74)]"	"[(104, 113)]"
1	1	36	3	6	Mirrors could replace air conditioning	Ele	"The Stanford mirror was designed in such a way that it reflects 97% of the visible light that falls on it. But, more importantly, it works as a thermal radiator. When the mirror is warmed up, it releases heat at a specific wavelength of infrared light that passes easily through the atmosphere and out into space. The mirror is built from several layers of wafer-thin materials. The first layer is reflective silver. On top of this are alternating layers of silicon dioxide and hafnium oxide. These layers improve the reflectivity but, also, turn the mirror into a thermal radiator. When silicon dioxide heats up, it radiates the heat as infrared light at a wavelength of around ten micrometres. Since there is very little in the atmosphere that absorbs at that wavelength, the heat passes straight out to space. The total thickness of the mirror is around two micrometres or two thousandths of a millimetre. “The cold darkness of the universe can be used as a renewable thermodynamic resource, even during the hottest hours of the day,” the scientists write in Nature. In tests, the mirror had a cooling power of 40 watts per square metre at ambient temperature."	1	What does the quote from the scientists mean?	That the mirror is still successful when it is very hot out	That the mirror is made out of several layers of very thin materials	That the mirror is very cost-effective	That the mirror only works if it is not too hot	0	[0 2 3 1]	"[(154, 176)]"	"[(56, 66)]"
1	1	37	4	6	Mirrors could replace air conditioning	Int	"Writing in the journal, Fan puts the installed cost of mirrors at between $20 and $70 per square metre and calculates an annual electricity saving of 100MWh on a three-story building. Fan said that the mirror could cool buildings – or other objects – simply by putting it in direct contact with them. Coating the roof of a building with the mirror would prevent heating from sunlight but do little to remove heat from its interior. More likely, the mirror would be used to cool water or some other fluid that would then be pumped around the building.[b] He ruled out the idea of using the mirrors to slow down global warming. “Roof space accounts for only a small portion of the Earth’s surface so, at this point, we don’t think this would be a geoengineering solution. Rather, our contribution on the greenhouse-gas-emission issue is simply to reduce electricity consumption,” he said. “I’m really excited by the potential it has and the applications for cooling,” said Marin Soljačić, a physicist at the Massachusetts Institute of Technology. “You could use this on buildings so you have to spend much less on air conditioning or maybe you wouldn’t need it at all. You could put it on top of shopping malls. With a large enough surface, you could get substantial cooling.”"	2	Why doesn’t Fan consider the mirrors a “geoengineering solution”?	They barely reduce the amount of electricity used by businesses	They only work on three-story buildings and shopping malls	They would fail to slow down global warming	They cost too much to produce enough for every rooftop	2	[1 3 0 2]	"[(112, 137)]"	"[(0, 19)]"
1	1	38	1	7	Autumn-born children better at sport says study	Adv	"Do you want your child to be good at sport, make the school team and, maybe one day, even compete on the world stage? Well, try to ensure that your would-be Olympian or World Cup winner is born in November or, failing that, in October. A study led by one of the UK’s leading experts on children’s physical activity has found that school pupils born in those months are fitter than everyone else in their class. November- and October-born children emerged as fitter, stronger and more powerful than their peers born in the other ten months of the year, especially those whose birthdays fell in April or June. Dr Gavin Sandercock, from the Centre for Sports and Exercise Science at Essex University, and colleagues found that autumn-born children enjoyed “a clear physical advantage” over their classmates."	1	What can be said about children born in April or June?	They are the weakest	They tend to be more intellectual than sporty	"They are weaker than children born in November and October, but not necessarily the weakest"	"The tend to play for the school team, and later in international competitions"	0	[0 3 1 2]	"[(99, 108)]"	"[(0, 24)]"
1	1	39	2	7	Autumn-born children better at sport says study	Adv	"The research involved 8,550 boys and girls aged between ten and 16 from 26 state schools in Essex. All were tested between 2007 and 2010 on three different measures of fitness: stamina, handgrip strength and lower-body power. The results revealed that a child’s month of birth could make “significant” differences to their levels of cardiovascular fitness, muscle strength and ability to accelerate, all of which predict how good someone is at sport, in which such attributes are vital. Performances at school sports days in the weeks ahead may bear out the findings. November-born children were the fittest overall as they had the most stamina and power and were the second strongest. Those born in October were almost as fit, scoring highest for strength and coming third for power, with December children close behind."	2	What factor was found to make the biggest difference in a child’s physical capabilities?	The measured stamina and power of a child at birth	The strength of a child’s muscles at birth	The month a child was born in	The weight of a child	2	[2 1 0 3]	"[(18, 78)]"	"[(92, 106)]"
